date,code,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_id,player_fieldTranslations_nameTranslation_ar,isHome,shotType,situation,playerCoordinates_x,playerCoordinates_y,playerCoordinates_z,bodyPart,goalMouthLocation,goalMouthCoordinates_x,goalMouthCoordinates_y,goalMouthCoordinates_z,blockCoordinates_x,blockCoordinates_y,blockCoordinates_z,id,time,addedTime,timeSeconds,draw_start_x,draw_start_y,draw_block_x,draw_block_y,draw_end_x,draw_end_y,draw_goal_x,draw_goal_y,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,goalType,xg,xgot,shootoutOrder
23032019,8172523,Dudu,,,dudu,Dudu,M,7,4183,147464,دودو,False,save,assisted,12.3,24.8,0,right-foot,low-centre,0.0,51.3,1.9,2.5,45.5,0.0,594572,90,5.0,5642,24.8,12.3,45.5,2.5,48.7,0.0,48.7,98.1,1,658,shot,,,,
23032019,8172523,Dudu,,,dudu,Dudu,M,7,4183,147464,دودو,False,save,assisted,14.4,23.3,0,right-foot,high-right,0.0,48.1,26.6,1.6,46.8,0.0,594571,89,,5288,23.3,14.4,46.8,1.6,51.9,0.0,51.9,73.4,2,112,shot,,,,
23032019,8172523,Antônio Carlos,,,antonio-carlos,A. Carlos,D,25,161,242209,,False,miss,corner,8.4,46.8,0,left-foot,high,0.0,52.4,62.5,,,,594570,87,,5200,46.8,8.4,,,47.6,0.0,47.6,37.5,4,200,shot,,,,
23032019,8172523,Arthur Cabral,,,arthur-cabral,A. Cabral,F,9,4692,870762,أرثور,False,block,regular,5.1,50.7,0,right-foot,,,,,3.7,51.3,0.0,594569,85,,5063,50.7,5.1,51.3,3.7,,,,,6,337,shot,,,,
23032019,8172523,Dudu,,,dudu,Dudu,M,7,4183,147464,دودو,False,miss,assisted,13.9,50.1,0,right-foot,high,0.0,44.4,77.8,,,,594568,82,,4877,50.1,13.9,,,55.6,0.0,55.6,22.2,9,523,shot,,,,
23032019,8172523,Antônio Carlos,,,antonio-carlos,A. Carlos,D,25,161,242209,,False,save,corner,15.9,60.9,0,right-foot,high-right,0.0,47.6,22.8,2.3,52.0,0.0,594567,77,,4619,60.9,15.9,52.0,2.3,52.4,0.0,52.4,77.2,14,781,shot,,,,
23032019,8172523,Bruno Henrique,,,bruno-henrique,Bruno Henrique,M,8,389,345113,برونو هنريك,False,block,corner,24.1,41.5,0,left-foot,,,,,11.1,46.8,0.0,594566,77,,4617,41.5,24.1,46.8,11.1,,,,,14,783,shot,,,,
23032019,8172523,Paulinho,,,paulinho,Paulinho,D,,12,243665,,True,save,free-kick,13.6,83.6,0,left-foot,high-right,0.0,46.5,20.3,1.2,52.7,0.0,594565,76,,4538,83.6,13.6,52.7,1.2,53.5,0.0,53.5,79.7,15,862,shot,,,,
23032019,8172523,Marcos Rocha,,,marcos-rocha,Marcos Rocha,D,2,976,82576,,False,block,regular,17.4,68.1,0,right-foot,,,,,14.4,65.5,0.0,594564,71,,4250,68.1,17.4,65.5,14.4,,,,,20,1150,shot,,,,
23032019,8172523,Arthur Cabral,,,arthur-cabral,A. Cabral,F,9,4692,870762,أرثور,False,goal,assisted,13.2,53.2,0,right-foot,low-right,0.0,46.9,8.2,,,,594563,67,,3968,53.2,13.2,,,53.1,0.0,53.1,91.8,24,1432,shot,regular,,,
23032019,8172523,Ricardo Goulart,,,ricardo-goulart,Ricardo Goulart,F,,415,151993,,False,miss,set-piece,2.6,54.0,0,head,close-high,0.0,46.2,59.7,,,,594562,64,,3839,54.0,2.6,,,53.8,0.0,53.8,40.3,27,1561,shot,,,,
23032019,8172523,Murilo,,,murilo,Murilo,M,,112,581056,,True,save,penalty,11.5,50.0,0,right-foot,low-left,0.0,54.2,6.3,0.5,48.2,0.0,594561,58,,3474,50.0,11.5,48.2,0.5,45.8,0.0,45.8,93.7,33,1926,shot,,,,
23032019,8172523,Felipe Marques,,,felipe-marques,F. Marques,F,20,57,927438,,True,miss,assisted,20.7,35.8,0,right-foot,high-right,0.0,42.2,72.2,,,,594560,50,,2975,35.8,20.7,,,57.8,0.0,57.8,27.8,41,2425,shot,,,,
23032019,8172523,Bruno Henrique,,,bruno-henrique,Bruno Henrique,M,8,389,345113,برونو هنريك,False,save,assisted,27.2,30.7,0,right-foot,low-right,0.0,46.8,5.7,2.7,50.2,0.0,594559,49,,2937,30.7,27.2,50.2,2.7,53.2,0.0,53.2,94.3,42,2463,shot,,,,
